Name,CAS,Clean_Name,Source_File
"N-ethyl-3-hydroxy-N,N-dimethylpropan-1-aminium bis((trifluoromethyl)sulfonyl)imide",849502-24-5,N-ETHYL-3-HYDROXY-N N-DIMETHYLPROPAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-ethyl-3-methoxy-N,N-dimethylpropan-1-aminium bis((trifluoromethyl)sulfonyl)imide",1373334-05-4,N-ETHYL-3-METHOXY-N N-DIMETHYLPROPAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-ethyl-3-methoxy-N,N-dimethylpropan-1-aminium chloride",1388148-37-5,N-ETHYL-3-METHOXY-N N-DIMETHYLPROPAN-1-AMINIUM CHLORIDE,ammonium.csv
N-ethyl-N-((5-(hydroxymethyl)furan-2-yl)methyl)ethanaminium chloride,2600618-21-9,N-ETHYL-N-((5-(HYDROXYMETHYL)FURAN-2-YL)METHYL)ETHANAMINIUM CHLORIDE,ammonium.csv
N-ethyl-N-((5-(hydroxymethyl)furan-2-yl)methyl)ethanaminium dihydrogen phosphate,2600618-23-1,N-ETHYL-N-((5-(HYDROXYMETHYL)FURAN-2-YL)METHYL)ETHANAMINIUM DIHYDROGEN PHOSPHATE,ammonium.csv
N-ethyl-N-((5-(hydroxymethyl)furan-2-yl)methyl)ethanaminium sulfate,2600618-24-2,N-ETHYL-N-((5-(HYDROXYMETHYL)FURAN-2-YL)METHYL)ETHANAMINIUM SULFATE,ammonium.csv
"N-ethyl-N,N-dimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",258273-76-6,N-ETHYL-N N-DIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-ethyl-N,N-dimethylbutan-1-aminium chloride",625835-85-0,N-ETHYL-N N-DIMETHYLBUTAN-1-AMINIUM CHLORIDE,ammonium.csv
"N-methyl-N,N-dioctyloctan-1-aminium 2,2,2-trifluoroacetate",121107-16-2,N-METHYL-N N-DIOCTYLOCTAN-1-AMINIUM 2 2 2-TRIFLUOROACETATE,ammonium.csv
"N-methyl-N,N-dioctyloctan-1-aminium bis((trifluoromethyl)sulfonyl)imide",375395-33-8,N-METHYL-N N-DIOCTYLOCTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-methyl-N,N-dioctyloctan-1-aminium chloride",5137-55-3,N-METHYL-N N-DIOCTYLOCTAN-1-AMINIUM CHLORIDE,ammonium.csv
"N-methyl-N,N-dioctyloctan-1-aminium tetrachloroferrate(III)",134636-21-8,N-METHYL-N N-DIOCTYLOCTAN-1-AMINIUM TETRACHLOROFERRATE(III),ammonium.csv
"N-methyl-N,N-dioctyloctan-1-aminium trifluoromethanesulfonate",121107-18-4,N-METHYL-N N-DIOCTYLOCTAN-1-AMINIUM TRIFLUOROMETHANESULFONATE,ammonium.csv
"tetrabutylammonium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",2448401-10-1,TETRABUTYLAMMONIUM (2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANOATE,ammonium.csv
