Clean_Name,corr_score_min,corr_score_mean,corr_score_var,data_points,UNS
ASTM A335 GRADE P22 (2 CR-1 MO),0.2626838175329588,0.2626838175329588,0.0,1,K21590
ASTM A335 GRADE P22 (2CR-1MO),0.2841047919865255,0.2841047919865255,0.0,1,K21590
ASTM A335 GRADE P5 (5 CR-0 5 MO),0.28869252115457555,0.28869252115457555,0.0,1,K51545
ASTM A335 GRADE P5 (5CR-0 5MO),0.33582700497247703,0.33582700497247703,0.0,1,K51545
ASTM A335 GRADE P9 (10 CR-1 MO),0.2841047919865255,0.2841047919865255,0.0,1,S50400
ASTM A335 GRADE P9 (10CR-1MO),0.34196460124938927,0.34196460124938927,0.0,1,S50400
AZ31B,0.2659275664923888,0.62260857977984,0.10546127719932294,9,
AZ61A,0.2636371871307951,0.5081507399873718,0.06773219658378923,8,M11610
AZ63A,0.5117072191244584,0.5748318265913407,0.003305456096964828,3,M11630
AZ92A,0.43062255242977826,0.47179311482698116,0.0016448648084641164,3,M11920
B-2,0.9297594953039348,0.9297594953039348,0.0,1,N10665
B/C TITANIUM,0.9978386199262116,0.9978386199262116,0.0,1,R58640
B/C TITANIUM AND ALLOYS,0.9987007572074322,0.9987007572074322,0.0,2,R58640
B/C-TITANIUM,0.8846944397064769,0.8846944397064769,0.0,1,R58640
BABBITT ALLOY (SN-7 4SB-3 7CU),0.9753187159831225,0.9753187159831225,0.0,1,
BRASS,0.25,0.7631578947368421,0.06963885778275473,95,
BRONZE (90CU-10SN),0.7686217868402407,0.7686217868402407,0.0,1,C52400
C-22,0.9987007572074322,0.9987007572074322,0.0,1,N06022
C-276,0.9965514018750378,0.9965514018750378,0.0,1,N10276
C-MO STEEL,0.8977117175026231,0.9046817643138381,9.716310510105345e-05,2,J12520
C11000,0.8538680406899694,0.9690892410615085,0.0013372765835880103,20,C11000
C26000,0.9978386199262116,0.9985570676605621,1.2388011527842033e-07,6,C26000
C65500,0.9226277020079291,0.9589781215088236,0.000766870916137698,4,C65500
CABOT ALLOY NO 625 CABOT CORP,0.47304957292670674,0.9377330521224904,0.018179305452227262,34,N06625
CABOT NO 625 CABOT CORP,0.9145602410945656,0.9221598681992502,0.00011550866426051344,2,N06625
CARBON STEEL,0.22773276745674667,0.7748419913682646,0.030489176358206683,76,G10100
CARPENTER 20 CARPENTER TECHNOLOGIES CORP,0.7245267751622539,0.9635719710133405,0.006011231599757751,14,
CARPENTER 20 CARPENTER TECHNOLOGIES INC,0.9978386199262116,0.9978386199262116,0.0,1,
CARPENTER 20 CARPENTER TECHNOLOGY CORP,0.25,0.9369460249580002,0.01663662850615602,95,
CARPENTER 20CB3 CARPENTER TECHNOLOGY CORP,0.7245267751622539,0.8782885734377853,0.010087687519904423,7,N08020
